sequence_id,segment_id,start_timestamp,end_timestamp,start_event_id,end_event_id,event_count,benign_event_count,malicious_event_count,sequence_label,y
29,20260508_211655_create_user_Tyu1u6,1778300215.036000,1778300215.244000,11268,11319,50,50,0,benign,0
30,20260508_211655_create_user_Tyu1u6,1778300215.041000,1778300215.252000,11278,11330,50,50,0,benign,0
31,20260508_211655_create_user_Tyu1u6,1778300215.046000,1778300215.256000,11288,11340,50,50,0,benign,0
32,20260508_211655_create_user_Tyu1u6,1778300215.053000,1778300215.256000,11300,11350,50,50,0,benign,0
33,20260508_211655_create_user_Tyu1u6,1778300215.142000,1778300215.258000,11310,11360,50,50,0,benign,0
34,20260508_211655_create_user_Tyu1u6,1778300215.244000,1778300215.263000,11320,11370,50,50,0,benign,0
35,20260508_211655_create_user_Tyu1u6,1778300215.252000,1778300215.269000,11331,11382,50,50,0,benign,0
36,20260508_211655_create_user_Tyu1u6,1778300215.256000,1778300215.288000,11341,11392,50,50,0,benign,0
37,20260508_211655_create_user_Tyu1u6,1778300215.256000,1778300215.293000,11351,11402,50,50,0,benign,0
38,20260508_211655_create_user_Tyu1u6,1778300215.258000,1778300215.303000,11361,11412,50,50,0,benign,0
39,20260508_211655_create_user_Tyu1u6,1778300215.263000,1778300215.320000,11371,11422,50,50,0,benign,0
40,20260508_211655_create_user_Tyu1u6,1778300215.269000,1778300215.332000,11383,11432,50,50,0,benign,0
41,20260508_211655_create_user_Tyu1u6,1778300215.288000,1778300215.339000,11393,11442,50,50,0,benign,0
42,20260508_211655_create_user_Tyu1u6,1778300215.294000,1778300215.348000,11403,11452,50,50,0,benign,0
43,20260508_211655_create_user_Tyu1u6,1778300215.306000,1778300215.351000,11413,11464,50,50,0,benign,0
44,20260508_211655_create_user_Tyu1u6,1778300215.322000,1778300215.370000,11423,11474,50,50,0,benign,0
45,20260508_211655_create_user_Tyu1u6,1778300215.332000,1778300215.378000,11433,11484,50,50,0,benign,0
46,20260508_211655_create_user_Tyu1u6,1778300215.340000,1778300215.380000,11443,11494,50,50,0,benign,0
47,20260508_211655_create_user_Tyu1u6,1778300215.349000,1778300215.385000,11453,11504,50,50,0,benign,0
48,20260508_211655_create_user_Tyu1u6,1778300215.351000,1778300215.385000,11465,11514,50,50,0,benign,0
49,20260508_211655_create_user_Tyu1u6,1778300215.372000,1778300215.386000,11475,11526,50,50,0,benign,0
50,20260508_211655_create_user_Tyu1u6,1778300215.379000,1778300215.395000,11485,11540,50,50,0,benign,0
51,20260508_211655_create_user_Tyu1u6,1778300215.380000,1778300215.407000,11495,11550,50,50,0,benign,0
52,20260508_211655_create_user_Tyu1u6,1778300215.385000,1778300215.411000,11505,11560,50,40,10,malicious,1
53,20260508_211655_create_user_Tyu1u6,1778300215.385000,1778300215.411000,11515,11570,50,30,20,malicious,1
54,20260508_211655_create_user_Tyu1u6,1778300215.387000,1778300215.415000,11529,11580,50,20,30,malicious,1
55,20260508_211655_create_user_Tyu1u6,1778300215.398000,1778300215.416000,11541,11592,50,10,40,malicious,1
56,20260508_211655_create_user_Tyu1u6,1778300215.408000,1778300215.428000,11551,11604,50,3,47,malicious,1
57,20260508_211655_create_user_Tyu1u6,1778300215.411000,1778300215.431000,11561,11614,50,3,47,malicious,1
58,20260508_211655_create_user_Tyu1u6,1778300215.414000,1778300215.434000,11571,11624,50,3,47,malicious,1
59,20260508_211655_create_user_Tyu1u6,1778300215.415000,1778300215.438000,11581,11634,50,3,47,malicious,1
60,20260508_211655_create_user_Tyu1u6,1778300215.416000,1778300215.441000,11593,11646,50,3,47,malicious,1
61,20260508_211655_create_user_Tyu1u6,1778300215.428000,1778300215.445000,11605,11656,50,0,50,malicious,1
62,20260508_211655_create_user_Tyu1u6,1778300215.432000,1778300215.449000,11615,11666,50,0,50,malicious,1
63,20260508_211655_create_user_Tyu1u6,1778300215.434000,1778300215.452000,11625,11676,50,0,50,malicious,1
64,20260508_211655_create_user_Tyu1u6,1778300215.438000,1778300215.455000,11635,11686,50,0,50,malicious,1
65,20260508_211655_create_user_Tyu1u6,1778300215.441000,1778300215.457000,11647,11696,50,0,50,malicious,1
66,20260508_211655_create_user_Tyu1u6,1778300215.446000,1778300215.458000,11657,11707,50,0,50,malicious,1
67,20260508_211655_create_user_Tyu1u6,1778300215.449000,1778300215.464000,11667,11719,50,1,49,malicious,1
68,20260508_211655_create_user_Tyu1u6,1778300215.452000,1778300215.464000,11677,11729,50,1,49,malicious,1
69,20260508_211655_create_user_Tyu1u6,1778300215.455000,1778300215.468000,11687,11739,50,1,49,malicious,1
70,20260508_211655_create_user_Tyu1u6,1778300215.457000,1778300215.470000,11697,11750,50,1,49,malicious,1
71,20260508_211655_create_user_Tyu1u6,1778300215.458000,1778300215.472000,11708,11763,50,2,48,malicious,1
72,20260508_211655_create_user_Tyu1u6,1778300215.464000,1778300215.493000,11720,11773,50,11,39,malicious,1
73,20260508_211655_create_user_Tyu1u6,1778300215.464000,1778300215.499000,11730,11786,50,15,35,malicious,1
74,20260508_211655_create_user_Tyu1u6,1778300215.468000,1778300215.500000,11740,11796,50,15,35,malicious,1
75,20260508_211655_create_user_Tyu1u6,1778300215.470000,1778300215.507000,11751,11806,50,15,35,malicious,1
76,20260508_211655_create_user_Tyu1u6,1778300215.474000,1778300215.508000,11764,11817,50,14,36,malicious,1
77,20260508_211655_create_user_Tyu1u6,1778300215.493000,1778300215.514000,11774,11830,50,7,43,malicious,1
78,20260508_211655_create_user_Tyu1u6,1778300215.499000,1778300215.520000,11787,11842,50,7,43,malicious,1
79,20260508_211655_create_user_Tyu1u6,1778300215.500000,1778300215.520000,11797,11852,50,7,43,malicious,1
80,20260508_211655_create_user_Tyu1u6,1778300215.507000,1778300215.526000,11807,11862,50,7,43,malicious,1
81,20260508_211655_create_user_Tyu1u6,1778300215.508000,1778300215.527000,11818,11873,50,7,43,malicious,1
82,20260508_211655_create_user_Tyu1u6,1778300215.514000,1778300215.532000,11831,11886,50,7,43,malicious,1
83,20260508_211655_create_user_Tyu1u6,1778300215.520000,1778300215.541000,11843,11898,50,9,41,malicious,1
84,20260508_211655_create_user_Tyu1u6,1778300215.520000,1778300215.542000,11853,11908,50,9,41,malicious,1
85,20260508_211655_create_user_Tyu1u6,1778300215.526000,1778300215.547000,11863,11918,50,9,41,malicious,1
86,20260508_211655_create_user_Tyu1u6,1778300215.527000,1778300215.547000,11874,11928,50,9,41,malicious,1
87,20260508_211655_create_user_Tyu1u6,1778300215.533000,1778300215.549000,11887,11942,50,6,44,malicious,1
88,20260508_211655_create_user_Tyu1u6,1778300215.541000,1778300215.559000,11899,11954,50,4,46,malicious,1
89,20260508_211655_create_user_Tyu1u6,1778300215.542000,1778300215.559000,11909,11964,50,4,46,malicious,1
90,20260508_211655_create_user_Tyu1u6,1778300215.547000,1778300215.564000,11919,11974,50,4,46,malicious,1
91,20260508_211655_create_user_Tyu1u6,1778300215.547000,1778300215.564000,11929,11984,50,4,46,malicious,1
92,20260508_211655_create_user_Tyu1u6,1778300215.549000,1778300215.566000,11943,11998,50,4,46,malicious,1
93,20260508_211655_create_user_Tyu1u6,1778300215.559000,1778300215.577000,11955,12010,50,4,46,malicious,1
94,20260508_211655_create_user_Tyu1u6,1778300215.560000,1778300215.577000,11965,12020,50,4,46,malicious,1
95,20260508_211655_create_user_Tyu1u6,1778300215.564000,1778300215.582000,11975,12030,50,4,46,malicious,1
96,20260508_211655_create_user_Tyu1u6,1778300215.564000,1778300215.583000,11986,12041,50,4,46,malicious,1
97,20260508_211655_create_user_Tyu1u6,1778300215.567000,1778300215.585000,11999,12054,50,5,45,malicious,1
98,20260508_211655_create_user_Tyu1u6,1778300215.577000,1778300215.591000,12011,12066,50,3,47,malicious,1
99,20260508_211655_create_user_Tyu1u6,1778300215.577000,1778300215.598000,12021,12076,50,12,38,malicious,1
100,20260508_211655_create_user_Tyu1u6,1778300215.582000,1778300215.611000,12031,12088,50,22,28,malicious,1
101,20260508_211655_create_user_Tyu1u6,1778300215.583000,1778300215.616000,12042,12098,50,32,18,malicious,1
102,20260508_211655_create_user_Tyu1u6,1778300215.586000,1778300215.717000,12055,12108,50,41,9,malicious,1
103,20260508_211655_create_user_Tyu1u6,1778300215.592000,1778300215.732000,12067,12119,50,49,1,benign,0
104,20260508_211655_create_user_Tyu1u6,1778300215.598000,1778300215.741000,12077,12131,50,50,0,benign,0
105,20260508_211655_create_user_Tyu1u6,1778300215.614000,1778300215.755000,12089,12141,50,50,0,benign,0
106,20260508_211655_create_user_Tyu1u6,1778300215.616000,1778300215.767000,12099,12151,50,50,0,benign,0
107,20260508_211655_create_user_Tyu1u6,1778300215.717000,1778300215.777000,12109,12161,50,50,0,benign,0
108,20260508_211655_create_user_Tyu1u6,1778300215.732000,1778300215.789000,12120,12171,50,50,0,benign,0
109,20260508_211655_create_user_Tyu1u6,1778300215.741000,1778300215.795000,12132,12181,50,50,0,benign,0
110,20260508_211655_create_user_Tyu1u6,1778300215.756000,1778300215.806000,12142,12191,50,50,0,benign,0
111,20260508_211655_create_user_Tyu1u6,1778300215.767000,1778300215.809000,12152,12203,50,50,0,benign,0
112,20260508_211655_create_user_Tyu1u6,1778300215.778000,1778300215.822000,12162,12213,50,50,0,benign,0
113,20260508_211655_create_user_Tyu1u6,1778300215.790000,1778300215.837000,12172,12225,50,50,0,benign,0
114,20260508_211655_create_user_Tyu1u6,1778300215.797000,1778300215.941000,12182,12235,50,50,0,benign,0
115,20260508_211655_create_user_Tyu1u6,1778300215.806000,1778300215.941000,12192,12245,50,50,0,benign,0
116,20260508_211655_create_user_Tyu1u6,1778300215.809000,1778300215.964000,12204,12257,50,50,0,benign,0
117,20260508_211655_create_user_Tyu1u6,1778300215.822000,1778300215.965000,12214,12268,50,50,0,benign,0
118,20260508_211655_create_user_Tyu1u6,1778300215.837000,1778300215.984000,12226,12278,50,50,0,benign,0
119,20260508_211655_create_user_Tyu1u6,1778300215.941000,1778300215.993000,12236,12288,50,50,0,benign,0
120,20260508_211655_create_user_Tyu1u6,1778300215.949000,1778300216.004000,12247,12298,50,50,0,benign,0
121,20260508_211655_create_user_Tyu1u6,1778300215.964000,1778300216.016000,12258,12308,50,50,0,benign,0
122,20260508_211655_create_user_Tyu1u6,1778300215.966000,1778300216.024000,12269,12318,50,50,0,benign,0
123,20260508_211655_create_user_Tyu1u6,1778300215.985000,1778300216.032000,12279,12328,50,50,0,benign,0
124,20260508_211655_create_user_Tyu1u6,1778300215.995000,1778300216.037000,12289,12340,50,50,0,benign,0
125,20260508_211655_create_user_Tyu1u6,1778300216.005000,1778300216.047000,12299,12352,50,50,0,benign,0
126,20260508_211655_create_user_Tyu1u6,1778300216.016000,1778300216.060000,12309,12362,50,50,0,benign,0
127,20260508_211655_create_user_Tyu1u6,1778300216.025000,1778300216.165000,12319,12372,50,50,0,benign,0
128,20260508_211655_create_user_Tyu1u6,1778300216.032000,1778300216.172000,12329,12383,50,50,0,benign,0
129,20260508_211655_create_user_Tyu1u6,1778300216.038000,1778300216.189000,12341,12395,50,50,0,benign,0
130,20260508_211655_create_user_Tyu1u6,1778300216.047000,1778300216.203000,12353,12405,50,50,0,benign,0
131,20260508_211655_create_user_Tyu1u6,1778300216.062000,1778300216.211000,12363,12415,50,50,0,benign,0
132,20260508_211655_create_user_Tyu1u6,1778300216.165000,1778300216.221000,12373,12425,50,50,0,benign,0
133,20260508_211655_create_user_Tyu1u6,1778300216.172000,1778300216.231000,12384,12435,50,50,0,benign,0
134,20260508_211655_create_user_Tyu1u6,1778300216.189000,1778300216.240000,12396,12445,50,50,0,benign,0
135,20260508_211655_create_user_Tyu1u6,1778300216.204000,1778300216.250000,12406,12455,50,50,0,benign,0
136,20260508_211655_create_user_Tyu1u6,1778300216.212000,1778300216.255000,12416,12466,50,50,0,benign,0
137,20260508_211655_create_user_Tyu1u6,1778300216.222000,1778300216.263000,12426,12477,50,50,0,benign,0
138,20260508_211655_create_user_Tyu1u6,1778300216.232000,1778300216.268000,12436,12487,50,50,0,benign,0
139,20260508_211655_create_user_Tyu1u6,1778300216.240000,1778300216.307000,12446,12497,50,50,0,benign,0
140,20260508_211655_create_user_Tyu1u6,1778300216.252000,1778300216.410000,12456,12507,50,50,0,benign,0
141,20260508_211655_create_user_Tyu1u6,1778300216.256000,1778300216.418000,12467,12517,50,50,0,benign,0
142,20260508_211655_create_user_Tyu1u6,1778300216.265000,1778300216.434000,12478,12527,50,50,0,benign,0
143,20260508_211655_create_user_Tyu1u6,1778300216.268000,1778300216.434000,12488,12537,50,50,0,benign,0
144,20260508_211655_create_user_Tyu1u6,1778300216.309000,1778300216.451000,12498,12547,50,50,0,benign,0
145,20260508_211655_create_user_Tyu1u6,1778300216.410000,1778300216.459000,12508,12557,50,50,0,benign,0
146,20260508_211655_create_user_Tyu1u6,1778300216.418000,1778300216.472000,12518,12567,50,50,0,benign,0
147,20260508_211655_create_user_Tyu1u6,1778300216.434000,1778300216.483000,12528,12577,50,50,0,benign,0
148,20260508_211655_create_user_Tyu1u6,1778300216.435000,1778300216.490000,12538,12587,50,50,0,benign,0
149,20260508_211655_create_user_Tyu1u6,1778300216.452000,1778300216.498000,12548,12597,50,50,0,benign,0
150,20260508_211655_create_user_Tyu1u6,1778300216.463000,1778300216.501000,12558,12607,50,50,0,benign,0
151,20260508_211655_create_user_Tyu1u6,1778300216.473000,1778300216.509000,12568,12617,50,50,0,benign,0
152,20260508_211655_create_user_Tyu1u6,1778300216.483000,1778300216.855000,12578,12627,50,50,0,benign,0
153,20260508_211655_create_user_Tyu1u6,1778300216.492000,1778300216.858000,12588,12637,50,50,0,benign,0
154,20260508_211658_root_dirtyfrag_t1hRDK,1778300216.959000,1778300217.049000,12639,12688,50,50,0,benign,0
155,20260508_211658_root_dirtyfrag_t1hRDK,1778300216.960000,1778300217.051000,12649,12698,50,50,0,benign,0
156,20260508_211658_root_dirtyfrag_t1hRDK,1778300216.968000,1778300217.052000,12659,12708,50,50,0,benign,0
157,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.010000,1778300217.053000,12669,12718,50,50,0,benign,0
158,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.032000,1778300217.055000,12679,12728,50,50,0,benign,0
159,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.049000,1778300217.056000,12689,12738,50,50,0,benign,0
160,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.051000,1778300217.082000,12699,12748,50,50,0,benign,0
161,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.052000,1778300217.158000,12709,12758,50,50,0,benign,0
162,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.053000,1778300217.165000,12719,12768,50,50,0,benign,0
163,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.055000,1778300217.173000,12729,12778,50,50,0,benign,0
164,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.056000,1778300217.190000,12739,12788,50,50,0,benign,0
165,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.084000,1778300217.203000,12749,12798,50,50,0,benign,0
166,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.159000,1778300217.214000,12759,12808,50,50,0,benign,0
167,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.166000,1778300217.225000,12769,12818,50,50,0,benign,0
168,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.175000,1778300217.232000,12779,12828,50,50,0,benign,0
169,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.191000,1778300217.243000,12789,12838,50,50,0,benign,0
170,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.204000,1778300217.247000,12799,12848,50,50,0,benign,0
171,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.215000,1778300217.303000,12809,12858,50,50,0,benign,0
172,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.226000,1778300217.305000,12819,12868,50,50,0,benign,0
173,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.234000,1778300217.340000,12829,12878,50,50,0,benign,0
174,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.243000,1778300217.440000,12839,12888,50,50,0,benign,0
175,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.247000,1778300217.448000,12849,12898,50,50,0,benign,0
176,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.303000,1778300217.490000,12859,12908,50,50,0,benign,0
177,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.305000,1778300217.490000,12869,12918,50,50,0,benign,0
178,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.340000,1778300217.510000,12879,12928,50,50,0,benign,0
179,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.440000,1778300217.521000,12889,12937,50,50,0,benign,0
180,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.448000,1778300217.533000,12899,12948,50,50,0,benign,0
181,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.490000,1778300217.545000,12909,12958,50,50,0,benign,0
182,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.491000,1778300217.553000,12919,12968,50,50,0,benign,0
183,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.512000,1778300217.563000,12929,12978,50,50,0,benign,0
184,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.523000,1778300217.565000,12938,12988,50,50,0,benign,0
185,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.534000,1778300217.616000,12949,12998,50,50,0,benign,0
186,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.546000,1778300217.705000,12959,13010,50,50,0,benign,0
187,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.554000,1778300217.707000,12969,13020,50,50,0,benign,0
188,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.563000,1778300217.808000,12979,13030,50,50,0,benign,0
189,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.565000,1778300217.844000,12989,13042,50,50,0,benign,0
190,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.616000,1778300217.859000,12999,13055,50,50,0,benign,0
191,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.705000,1778300217.873000,13011,13065,50,50,0,benign,0
192,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.807000,1778300217.884000,13021,13075,50,50,0,benign,0
193,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.808000,1778300217.894000,13031,13085,50,50,0,benign,0
194,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.857000,1778300217.905000,13045,13095,50,50,0,benign,0
195,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.859000,1778300217.912000,13056,13105,50,50,0,benign,0
196,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.875000,1778300217.923000,13066,13115,50,50,0,benign,0
197,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.884000,1778300217.926000,13077,13127,50,50,0,benign,0
198,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.895000,1778300217.994000,13086,13137,50,50,0,benign,0
199,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.907000,1778300217.999000,13096,13147,50,50,0,benign,0
200,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.914000,1778300218.004000,13106,13157,50,50,0,benign,0
201,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.924000,1778300218.014000,13116,13167,50,50,0,benign,0
202,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.926000,1778300218.021000,13128,13177,50,50,0,benign,0
203,20260508_211658_root_dirtyfrag_t1hRDK,1778300217.995000,1778300218.028000,13138,13187,50,45,5,malicious,1
204,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.000000,1778300218.029000,13148,13197,50,35,15,malicious,1
205,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.008000,1778300218.031000,13158,13207,50,25,25,malicious,1
206,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.015000,1778300218.032000,13168,13217,50,15,35,malicious,1
207,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.023000,1778300218.032000,13178,13227,50,5,45,malicious,1
208,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.028000,1778300218.044000,13188,13237,50,0,50,malicious,1
209,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.029000,1778300218.364000,13198,13247,50,8,42,malicious,1
210,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.031000,1778300218.501000,13208,13257,50,13,37,malicious,1
211,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.032000,1778300218.974000,13218,13267,50,13,37,malicious,1
212,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.032000,1778300218.978000,13228,13277,50,14,36,malicious,1
213,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.044000,1778300218.979000,13238,13287,50,14,36,malicious,1
214,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.364000,1778300218.984000,13248,13297,50,6,44,malicious,1
215,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.501000,1778300218.986000,13258,13307,50,1,49,malicious,1
216,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.974000,1778300219.002000,13268,13317,50,1,49,malicious,1
217,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.978000,1778300219.264000,13278,13327,50,0,50,malicious,1
218,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.979000,1778300219.298000,13288,13337,50,0,50,malicious,1
219,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.984000,1778300219.302000,13298,13347,50,2,48,malicious,1
220,20260508_211658_root_dirtyfrag_t1hRDK,1778300218.986000,1778300219.305000,13308,13357,50,8,42,malicious,1
221,20260508_211658_root_dirtyfrag_t1hRDK,1778300219.003000,1778300219.439000,13318,13367,50,14,36,malicious,1
222,20260508_211658_root_dirtyfrag_t1hRDK,1778300219.264000,1778300221.478000,13328,13377,50,24,26,malicious,1
223,20260508_211658_root_dirtyfrag_t1hRDK,1778300219.298000,1778300221.478000,13338,13387,50,34,16,malicious,1
224,20260508_211658_root_dirtyfrag_t1hRDK,1778300219.303000,1778300221.480000,13348,13397,50,42,8,malicious,1
225,20260508_211658_root_dirtyfrag_t1hRDK,1778300219.306000,1778300221.486000,13358,13407,50,46,4,benign,0
226,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.054000,1778300221.495000,13368,13417,50,50,0,benign,0
227,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.478000,1778300221.505000,13378,13427,50,50,0,benign,0
228,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.478000,1778300221.515000,13388,13437,50,50,0,benign,0
229,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.480000,1778300221.524000,13398,13447,50,50,0,benign,0
230,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.488000,1778300221.534000,13408,13457,50,50,0,benign,0
231,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.497000,1778300221.543000,13418,13467,50,50,0,benign,0
232,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.506000,1778300221.553000,13428,13477,50,50,0,benign,0
233,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.516000,1778300221.562000,13438,13487,50,50,0,benign,0
234,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.526000,1778300221.573000,13448,13497,50,50,0,benign,0
235,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.535000,1778300221.585000,13458,13507,50,50,0,benign,0
236,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.544000,1778300221.597000,13468,13517,50,50,0,benign,0
237,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.554000,1778300221.608000,13478,13527,50,50,0,benign,0
238,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.564000,1778300221.609000,13488,13537,50,50,0,benign,0
239,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.576000,1778300221.609000,13498,13547,50,50,0,benign,0
240,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.587000,1778300221.610000,13508,13557,50,50,0,benign,0
241,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.598000,1778300221.610000,13518,13567,50,50,0,benign,0
242,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.609000,1778300221.610000,13528,13577,50,50,0,benign,0
243,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.609000,1778300221.689000,13538,13590,50,50,0,benign,0
244,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.609000,1778300223.613000,13548,13603,50,50,0,benign,0
245,20260508_211658_root_dirtyfrag_t1hRDK,1778300221.610000,1778300223.614000,13558,13613,50,50,0,benign,0
